Número Fistel;Número Estação;NumCnpjCpf;NumServico;Frequência (MHz);Banda_MHZ;Frequência Inicial;Frequência Final;FreqTxMHz;FreqRxMHz;Designação Emissão;Número Ato;Data Validade;Entidade;NumSetor;Tecnologia;Tipo de Tecnologia 5G;Latitude;Longitude;Latitude decimal;Longitude decimal;EnderecoEstacao;EndBairro;EndNumero;EndComplemento;Cep;ClassInfraFisica;Data Primeiro Licenciamento;Data Licenciamento;AnoMesLic;Situacao;Caráter;Empresa Estação;Faixa Estação;Subfaixa Estação;Geração;Código Nacional;Código IBGE;Município-UF;UF;Nome da UF
50409146285;665643691;02558157000162;010;;;;;1812.5;1717.5;200KG7W;147522023;2031-03-12;Telefonica Brasil S.a.;2;GSM;;-9.65333;-35.70556;-9.65333;-35.70556;AVENIDA JULIO MARQUES LUZ;JATIUCA;S/N;;57035700;;21/06/2002;11/03/2025;2002-06;Licenciada;Secundário;VIVO;1800;D;2G;82;2704302;Maceió - AL;AL;Alagoas
50409146285;1005189339;;010;;;;;788;733;10M0G7W;51782021;2038-04-30;TELEFONICA BRASIL S.A.;;;;-9.16194;-37.35917;-9.16194;-37.35917;RUA CORONEL LUCENA;CENTRO;S/N;RBR-NÃO;57525000;;02/11/2017;09/10/2023;2017-11;Licenciada;Secundário;VIVO;700;Bl 6-7;;82;2706109;Ouro Branco - AL;AL;Alagoas
50409146285;1003130515;02558157000162;010;;;;;885;840;5M00G7W;95712014;2027-08-25;TELEFONICA BRASIL S.A.;2;WCDMA;;-9.30694;-36.86444;-9.30694;-36.86444;PROPRIEDADE ANJOS;CENTRO;S/N;RBR-NÃO;57615000;;26/12/2016;03/08/2023;2016-12;Licenciada;Secundário;VIVO;850;B;3G;82;2705309;Minador do Negrão - AL;AL;Alagoas
50409307637;691351520;40432544000147;010;;;;;1875;1780;200KG7W;50502011;2027-08-25;CLARO S.A.;1;GSM;;-9.30727;-36.86446;-9.30727;-36.86446;PROPRIEDADE HELIO BARROS;CENTRO;S/N;RUA HÉLIO BARROS;57615000;Greenfield;01/06/2009;30/08/2022;2009-06;Licenciada;Primário;CLARO;1800;SE13;2G;82;2705309;Minador do Negrão - AL;AL;Alagoas
50409146285;1003130515;02558157000162;010;;;;;885;840;5M00G7W;95712014;2027-08-25;TELEFONICA BRASIL S.A.;1;WCDMA;;-9.30694;-36.86444;-9.30694;-36.86444;PROPRIEDADE ANJOS;CENTRO;S/N;RBR-NÃO;57615000;;26/12/2016;03/08/2023;2016-12;Licenciada;Secundário;VIVO;850;B;3G;82;2705309;Minador do Negrão - AL;AL;Alagoas
50409146285;1016453440;;010;;;;;788;733;10M0G7W;27662022;2029-12-08;Telefonica Brasil S.a.;;LTE;;-9.307281;-36.864417;-9.307281;-36.864417;RUA HELIO BARROS, SN;CENTRO;S/N;;57615000;;11/02/2025;11/02/2025;2025-02;Licenciada;Secundário;VIVO;700;Bl 6-7;4G;82;2705309;Minador do Negrão - AL;AL;Alagoas
50409307637;691351520;;010;;;;;798;743;10M0G7W;97692014;2029-12-08;CLARO S.A.;;LTE;;-9.30727;-36.86446;-9.30727;-36.86446;PROPRIEDADE HELIO BARROS;CENTRO;S/N;RUA HÉLIO BARROS;57615000;;01/06/2009;30/08/2022;2009-06;Licenciada;Primário;CLARO;700;Bl 8-9;4G;82;2705309;Minador do Negrão - AL;AL;Alagoas
50409307637;691351520;;010;;;;;1855;1760;10M0G7W;34672011;2026-06-01;CLARO S.A.;;LTE;;-9.30727;-36.86446;-9.30727;-36.86446;PROPRIEDADE HELIO BARROS;CENTRO;S/N;RUA HÉLIO BARROS;57615000;;01/06/2009;30/08/2022;2009-06;Licenciada;Primário;CLARO;1800;M;4G;82;2705309;Minador do Negrão - AL;AL;Alagoas
50409307637;1011539303;40432544000147;010;;;;;2117.5;1927.5;5M00G7W;48372023;2026-06-01;CLARO S.A.;;WCDMA;;-9.16217;-37.35919;-9.16217;-37.35919;R CORONEL LUCENA;LUIZ GONZAGA DE CARVALHO;S/N;;57525000;Ran Sharing;14/12/2020;13/06/2023;2020-12;Licenciada;Primário;CLARO;2100;F;3G;82;2706109;Ouro Branco - AL;AL;Alagoas
50409307637;1011539303;40432544000147;010;;;;;2140;1950;5M00G7W;34672011;2026-06-01;CLARO S.A.;;WCDMA;;-9.16217;-37.35919;-9.16217;-37.35919;R CORONEL LUCENA;LUIZ GONZAGA DE CARVALHO;S/N;;57525000;Ran Sharing;14/12/2020;13/06/2023;2020-12;Licenciada;Primário;CLARO;2100;H;3G;82;2706109;Ouro Branco - AL;AL;Alagoas
